Cod_setor,lider_masculino,lider_feminino,porcentagem_lideres_femininos
250053605000001,103,90,46.63212435233161
250053605000002,105,116,52.488687782805435
250053605000003,66,41,38.31775700934579
250053605000004,54,64,54.23728813559322
250053605000005,76,84,52.5
250053605000006,44,88,66.66666666666666
250053605000007,105,102,49.275362318840585
250053605000008,32,12,27.27272727272727
250053605000009,120,103,46.18834080717489
250053605000010,106,54,33.75
250057705000001,85,122,58.93719806763285
250057705000002,110,40,26.666666666666668
250057705000003,33,32,49.23076923076923
250057705000004,64,41,39.04761904761905
250057705000005,28,118,80.82191780821918
250060105000001,164,88,34.92063492063492
250060105000002,174,158,47.59036144578313
250060105000003,189,64,25.296442687747035
250060105000004,132,68,34
250060105000005,116,129,52.6530612244898
250060105000006,91,63,40.909090909090914
250060105000007,106,61,36.52694610778443
250060105000008,84,23,21.49532710280374
250060105000009,87,59,40.41095890410959
250060105000010,41,1,2.380952380952381
250060105000011,77,20,20.618556701030926
250060105000012,89,39,30.46875
250060105000013,14,0,0
250060105000014,138,22,13.750000000000002
250060105000015,282,121,30.024813895781637
250060105000016,146,43,22.75132275132275
250060105000017,84,14,14.285714285714285
250060105000018,25,6,19.35483870967742
250060105000019,132,105,44.303797468354425
250060105000020,81,45,35.714285714285715
250060105000021,80,37,31.62393162393162
250060105000022,82,60,42.25352112676056
250060105000023,177,83,31.92307692307692
250060105000024,217,119,35.41666666666667
250060105000025,171,63,26.923076923076923
250060105000026,26,5,16.129032258064516
250060105000027,177,80,31.1284046692607
250060105000028,111,38,25.503355704697988
250060105000029,98,12,10.909090909090908
250070005000001,176,147,45.51083591331269
250070005000002,154,88,36.36363636363637
250070005000003,159,113,41.544117647058826
250070005000004,199,114,36.42172523961661
250070005000005,123,108,46.75324675324675
250070005000006,252,136,35.051546391752574
250070005000007,93,41,30.597014925373134
250070005000008,159,73,31.46551724137931
250070005000009,107,35,24.647887323943664
250070005000010,101,152,60.079051383399204
250070005000011,82,29,26.126126126126124
250070005000012,96,21,17.94871794871795
250070005000013,177,36,16.901408450704224
250070005000014,68,13,16.049382716049383
250070005000015,86,35,28.92561983471074
250070005000016,120,20,14.285714285714285
250070005000017,77,126,62.06896551724138
250070005000018,91,37,28.90625
250070005000019,114,36,24
